Panel_ID,Brand,Model,Power_W,Efficiency_%,Warranty_Years,Price_USD,Degradation_%perYear
P001,Risen Energy,HJT,506.9,21.14,20,145.66,0.39
P002,Seraphim,HJT,425.2,18.2,10,202.1,0.35
P003,Jinko Solar,Mono,493.2,20.53,25,180.14,0.59
P004,Canadian Solar,Poly,531.0,18.2,15,209.12,0.63
P005,JA Solar,Bifacial,438.3,18.14,20,126.2,0.37
P006,Seraphim,HJT,350.0,19.59,25,158.04,0.51
P007,Trina Solar,HJT,514.6,19.29,20,219.63,0.62
P008,Trina Solar,Mono,440.2,20.64,25,142.85,0.47
P009,Risen Energy,HJT,504.7,21.46,10,275.55,0.49
P010,Trina Solar,Mono,368.7,21.96,15,208.88,0.47
P011,Longi Solar,Poly,421.6,21.97,20,177.18,0.39
P012,Jinko Solar,HJT,525.1,19.5,15,276.37,0.4
P013,Risen Energy,Poly,415.5,20.13,15,213.69,0.56
P014,Canadian Solar,Poly,404.4,17.4,10,229.46,0.59
P015,Seraphim,PERC,371.5,19.07,25,139.6,0.56
P016,Trina Solar,Mono,457.6,22.33,25,277.25,0.57
P017,Trina Solar,Bifacial,336.8,22.34,20,137.43,0.55
P018,JA Solar,Bifacial,337.0,18.76,25,230.4,0.52
P019,Risen Energy,PERC,342.0,17.75,25,247.55,0.48
P020,JA Solar,Poly,472.7,19.77,10,256.18,0.62
P021,Trina Solar,Mono,431.7,20.54,25,266.97,0.48
P022,Astronergy,Poly,501.6,19.76,15,245.63,0.64
P023,JA Solar,PERC,388.4,20.54,15,166.29,0.45
P024,Canadian Solar,PERC,481.3,19.25,25,210.88,0.42
P025,Canadian Solar,Poly,527.0,17.15,15,253.29,0.61
P026,Canadian Solar,PERC,525.2,17.84,20,209.89,0.45
P027,Astronergy,Mono,433.4,17.08,20,167.7,0.44
P028,Jinko Solar,Mono,491.3,20.78,20,178.15,0.35
P029,Seraphim,Bifacial,467.8,17.11,10,245.02,0.39
P030,Risen Energy,Poly,353.7,20.38,25,192.13,0.54
P031,Longi Solar,PERC,453.3,19.23,10,178.81,0.45
P032,Canadian Solar,PERC,335.1,20.9,20,263.13,0.58
P033,Canadian Solar,PERC,369.2,19.81,20,140.13,0.54
P034,Astronergy,Poly,512.5,21.79,20,272.18,0.5
P035,Astronergy,Mono,356.6,21.3,15,174.22,0.5
P036,Canadian Solar,PERC,466.7,19.45,10,247.2,0.56
P037,Canadian Solar,PERC,499.1,19.79,10,212.64,0.36
P038,Astronergy,Bifacial,484.0,20.35,15,163.16,0.41
P039,Astronergy,Mono,470.5,17.49,20,187.89,0.39
P040,Trina Solar,Mono,407.6,20.66,25,251.63,0.45
P041,Jinko Solar,Mono,512.5,21.79,20,268.93,0.55
P042,Risen Energy,PERC,462.0,20.44,15,210.15,0.53
P043,Jinko Solar,Bifacial,371.9,20.12,10,263.49,0.6
P044,Canadian Solar,Poly,522.2,21.89,20,224.94,0.59
P045,Longi Solar,PERC,402.5,17.55,25,185.97,0.59
P046,Jinko Solar,HJT,512.5,20.05,25,137.43,0.48
P047,Seraphim,Poly,300.6,21.17,15,233.6,0.61
P048,Trina Solar,Poly,448.5,20.41,15,272.89,0.6
P049,Jinko Solar,Poly,354.5,17.18,10,268.1,0.5
P050,JA Solar,PERC,351.3,18.94,20,207.65,0.44
P051,Risen Energy,HJT,411.6,17.58,10,229.7,0.53
P052,Canadian Solar,Mono,387.2,21.48,25,266.94,0.47
P053,Canadian Solar,Bifacial,513.9,18.84,15,227.9,0.63
P054,JA Solar,PERC,467.0,17.47,15,148.22,0.44
P055,Trina Solar,Mono,436.0,17.14,15,232.5,0.57
P056,Longi Solar,PERC,506.1,22.09,10,140.62,0.46
P057,Longi Solar,HJT,520.3,17.85,20,255.27,0.51
P058,Risen Energy,Mono,328.9,19.44,15,208.14,0.54
P059,Seraphim,Mono,421.8,21.15,15,136.08,0.58
P060,Longi Solar,Poly,383.4,22.28,15,204.68,0.64
P061,Canadian Solar,Poly,512.6,18.07,20,214.06,0.53
P062,Astronergy,Bifacial,369.1,19.35,10,164.9,0.41
P063,Trina Solar,Poly,538.5,21.32,10,278.22,0.35
P064,Astronergy,Mono,305.6,18.42,20,221.24,0.45
P065,Trina Solar,Poly,363.4,22.11,20,200.33,0.46
P066,Seraphim,Poly,394.5,22.33,25,208.17,0.45
P067,Astronergy,HJT,509.6,19.18,20,235.96,0.43
P068,Canadian Solar,HJT,481.9,21.67,20,213.22,0.53
P069,Canadian Solar,Bifacial,492.9,19.03,10,159.0,0.53
P070,Astronergy,Poly,535.7,18.43,10,271.01,0.35
P071,Canadian Solar,HJT,401.2,22.34,15,154.79,0.63
P072,Risen Energy,Mono,367.1,22.24,25,132.18,0.38
P073,Astronergy,PERC,352.1,22.05,15,166.35,0.5
P074,Astronergy,PERC,549.8,22.24,25,186.3,0.37
P075,JA Solar,Bifacial,501.4,17.41,15,216.93,0.42
P076,Risen Energy,Mono,398.6,22.43,10,247.92,0.35
P077,Astronergy,HJT,335.4,20.39,10,195.2,0.62
P078,Risen Energy,Bifacial,365.4,21.0,15,126.13,0.53
P079,Jinko Solar,PERC,395.7,18.02,15,167.32,0.36
P080,Astronergy,HJT,429.5,20.81,20,249.69,0.6
P081,Trina Solar,Mono,500.4,19.57,20,182.28,0.54
P082,Longi Solar,Bifacial,456.6,21.87,10,215.55,0.51
P083,Canadian Solar,HJT,397.0,17.71,10,226.55,0.36
P084,Astronergy,Bifacial,537.2,21.17,20,207.98,0.65
P085,Longi Solar,PERC,440.4,21.91,10,261.63,0.47
P086,Risen Energy,Mono,526.6,19.59,20,165.59,0.64
P087,JA Solar,Poly,372.0,18.53,25,171.38,0.53
P088,Canadian Solar,PERC,482.8,18.44,10,213.95,0.56
P089,Trina Solar,HJT,450.9,21.33,15,170.28,0.37
P090,Seraphim,PERC,462.8,21.42,20,262.87,0.44
P091,Astronergy,Bifacial,321.0,19.69,10,272.43,0.57
P092,Seraphim,PERC,544.8,21.87,15,248.1,0.37
P093,Longi Solar,Poly,400.5,18.55,20,262.38,0.58
P094,Jinko Solar,PERC,390.4,19.69,10,212.39,0.53
P095,Jinko Solar,Bifacial,518.5,18.69,10,223.7,0.43
P096,Risen Energy,PERC,334.2,20.06,25,150.68,0.46
P097,Astronergy,Bifacial,371.0,20.47,20,208.17,0.37
P098,Canadian Solar,HJT,477.8,17.97,10,251.66,0.55
P099,Canadian Solar,HJT,422.2,20.37,25,137.08,0.44
P100,Trina Solar,Mono,434.8,21.91,10,218.14,0.51
